vendor,item_name,size,category,material_class,unit,source_file,notes,price,price_basis
ASG,All-Sided Mirror,#0,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,All-Sided Mirror,#0,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,97.8,10lb bag
ASG,All-Sided Mirror,#0,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,15.64,1lb bag
ASG,All-Sided Mirror,#0,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,226.5,25lb bag
ASG,All-Sided Mirror,#0,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,416.5,50lb bag
ASG,All-Sided Mirror,#0,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,52.5,5lb bag
ASG,All-Sided Mirror,#00,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,All-Sided Mirror,#1,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,All-Sided Mirror,#1,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,97.8,10lb bag
ASG,All-Sided Mirror,#1,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,15.64,1lb bag
ASG,All-Sided Mirror,#1,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,226.5,25lb bag
ASG,All-Sided Mirror,#1,glass,tumbled_terrazzo,50lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,416.5,50lb bag
ASG,All-Sided Mirror,#1,glass,tumbled_terrazzo,5lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,52.5,5lb bag
ASG,All-Sided Mirror,#2,glass,tumbled_terrazzo,,ASG Retail Price List JAN-22.pdf,,,
ASG,All-Sided Mirror,#2,glass,tumbled_terrazzo,10lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,97.8,10lb bag
ASG,All-Sided Mirror,#2,glass,tumbled_terrazzo,1lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,15.64,1lb bag
ASG,All-Sided Mirror,#2,glass,tumbled_terrazzo,25lb bag,ASG Retail Price List JAN-22.pdf,Parsed from tumbled terrazzo glass sheet,226.5,25lb bag
